id_client,nom,prenom,email,date_naissance,sexe,ville,telephone,date_inscription,canal_acquisition
C00138,El Mansouri,Mehdi,mehdi.el mansouri312@yahoo.fr,1983-01-02,Homme,ERRACHIDIA,0620584397,2021-05-28,referral
C00139,Chraibi,Sara,sara.chraibi311@outlook.com,1990-01-02,F,rabat,0698413629,02/07/2023,referral
C00140,Ziani,Imane,imane.ziani43@gmail.com,1938-01-02,0,Eljadida,0665913331,19/06/2023,paid_search
C00141,Jamai,Rim,rim.jamai495@yahoo.fr,1973-01-01,f,beni mellal,0631217198,19/06/2022,paid_search
C00142,Bensaid,Karim,karim.bensaid148@hotmail.com,1967-01-02,male,EL JADIDA,0679119463,2023-02-24,social_media
C00143,Idrissi,Aisha,aisha.idrissi461@yahoo.fr,1962-01-02,female,FES,0653947691,29/03/2023,social_media
C00144,Senhaji,Rachid,rachid.senhaji479@menara.ma,2000-01-02,male,meknes,0638876195,2023-04-09,organic
C00145,Bensaid,Zineb,zineb.bensaid904menara.ma,1956-01-02,Femme,BENI MELLAL,0664123845,2022-01-19,organic
C00146,Tazi,Karim,karim.tazi296@gmail.com,1941-01-01,Homme,nador,0627268907,2020-07-17,influencer
C00147,Lahlou,Meryem,meryem.lahlou774@yahoo.fr,1947-01-02,f,TNG,0654699966,28/08/2022,social_media
C00148,Bensaid,Karim,karim.bensaid327@yahoo.fr,1973-01-01,h,kénitra,0681449442,30/09/2022,email
C00149,Alami,Imane,imane.alami378@hotmail.com,1937-01-01,f,TETOUAN,0645638891,04/09/2023,influencer
C00150,Benali,Nabil,nabil.benali598@menara.ma,1932-01-02,male,safi,0614237322,Mar 18 2023,organic
C00151,Ouali,Mohammed,mohammed.ouali322@menara.ma,1959-01-02,h,ERRACHIDIA,0618359252,2023-12-16,social_media
C00152,Rachidi,Rim,rim.rachidi539@menara.ma,1943-01-02,F,Agdir,0696343485,2023-11-20,paid_search
C00153,Idrissi,Omar,omar.idrissi572@hotmail.com,1973-01-01,Homme,Beni Mellal,0675632882,11/10/2021,referral
C00154,Drissi,Nadia,nadia.drissi588@outlook.com,1967-01-02,Femme,TANGER,0620607151,Dec 10 2021,direct
C00155,Rachidi,Hajar,hajar.rachidi220@yahoo.fr,1940-01-02,0,CASA,0642542167,13/04/2020,referral
C00156,Hajji,Samir,samir.hajji54@gmail.com,1999-01-02,1,kenitra,0664614193,Aug 30 2023,paid_search
C00157,Gharbi,Rim,rim.gharbi775@hotmail.com,2000-01-02,0,kénitra,0615006085,24/12/2020,influencer
C00158,Benali,Ayoub,ayoub.benali857@menara.ma,1974-01-02,m,marrakech,0654968591,05/08/2021,direct
C00159,El Mansouri,Yasmine,yasmine.el mansouri872@outlook.com,1997-01-01,0,BENI MELLAL,0697011385,10/06/2021,organic
C00160,Jamai,Soukaina,soukaina.jamai582@yahoo.fr,1960-01-02,F,agadir,0663798927,2023-10-02,social_media
C00161,Hajji,Sanaa,sanaa.hajji7@hotmail.com,1977-01-01,Femme,Tétouan,0686890296,2020-01-24,email
C00162,Filali,Mohammed,mohammed.filali122@menara.ma,1947-01-02,Homme,NADOR,0659330907,2023-06-12,social_media
C00163,Ouali,Sara,sara.ouali766@outlook.com,1951-01-02,0,el jadida,0689968863,2024-05-31,paid_search
C00164,Ziani,Aisha,aisha.ziani115@gmail.com,1986-01-02,F,rabat,0654039203,01/12/2022,direct
C00165,Ziani,Nabil,nabil.ziani501@gmail.com,2004-01-02,male,KENITRA,0671310453,2023-02-28,paid_search
C00166,Alami,Hajar,hajar.alami406@hotmail.com,1937-01-01,f,OUJDA,0618557710,Jan 13 2023,organic
C00167,Jamai,Fatima,fatima.jamai419@yahoo.fr,1929-01-01,Femme,ERRACHIDIA,0670201634,2022-02-12,direct
C00168,Lahlou,Samir,samir.lahlou122@yahoo.fr,1995-01-02,1,el jadida,0650045602,06/08/2022,referral
C00169,Moussaoui,Meryem,meryem.moussaoui844@yahoo.fr,1976-01-02,f,Tnja,0692533595,Apr 17 2024,organic
C00170,Chaoui,Omar,omar.chaoui104@outlook.com,1921-01-01,m,beni mellal,0663991141,2022-06-17,social_media
C00171,Senhaji,Youssef,youssef.senhaji297@yahoo.fr,1971-01-02,h,Eljadida,0653038943,2021-04-30,social_media
C00172,Jamai,Amine,amine.jamai282@gmail.com,1989-01-01,male,meknes,0656226575,10/08/2023,influencer
C00173,Naciri,Hajar,hajar.naciri419@yahoo.fr,1943-01-02,0,safi,0650364158,2023-12-20,paid_search
C00174,Naciri,Mehdi,mehdi.naciri992@menara.ma,1980-01-02,Homme,Agdir,0620612653,Jul 10 2022,organic
C00175,Idrissi,Mohammed,mohammed.idrissi387@outlook.com,1987-01-02,h,Fez,0638036618,2021-11-12,organic
C00176,Gharbi,Ayoub,ayoub.gharbi986@gmail.com,1980-01-02,h,oujda,0684098828,20/10/2021,paid_search
C00177,Chraibi,Meryem,meryem.chraibi368@hotmail.com,1948-01-02,f,Eljadida,0673013937,Apr 08 2024,social_media
C00178,Naciri,Sanaa,sanaa.naciri47@outlook.com,2009-01-01,F,ERRACHIDIA,0649620038,2020-11-08,social_media
C00179,Hajji,Khadija,khadija.hajji512@outlook.com,1979-01-02,female,meknes,0657268285,2020-12-12,referral
C00180,Tazi,Sara,sara.tazi658@gmail.com,2002-01-02,f,oujda,0694651342,2021-04-18,social_media
C00181,Senhaji,Omar,omar.senhaji467@hotmail.com,1933-01-01,male,tanger,0681432350,03/02/2023,organic
C00182,Jamai,Meryem,meryem.jamai18@outlook.com,1989-01-01,f,kenitra,0642342289,28/01/2021,email
C00183,Moussaoui,Nadia,nadia.moussaoui81@hotmail.com,1980-01-02,Femme,nador,0697742922,23/08/2023,organic
C00184,Moussaoui,Houda,houda.moussaoui566menara.ma,2001-01-01,female,NADOR,0685947990,Jul 14 2020,organic
C00185,Ziani,Omar,omar.ziani487@hotmail.com,1976-01-02,h,nador,0634072553,2021-10-06,social_media
C00186,Moussaoui,Adil,adil.moussaoui952@gmail.com,1939-01-02,male,AGADIR,0628783850,12/11/2023,referral
C00187,Drissi,Fatima,fatima.drissi448@yahoo.fr,1933-01-01,female,EL JADIDA,0613976288,2023-07-22,paid_search
C00188,Lahlou,Leila,leila.lahlou567@menara.ma,1927-01-02,f,Eljadida,0649645162,19/05/2021,organic
C00189,Moussaoui,Sara,sara.moussaoui729@yahoo.fr,1998-01-02,f,Marrakesh,0658307308,2024-04-08,social_media
C00190,Naciri,Youssef,youssef.naciri460@outlook.com,2008-01-02,m,kenitra,0690117857,09/05/2023,influencer
C00191,Jamai,Fatima,fatima.jamai424@menara.ma,1940-01-02,F,kenitra,0661100987,2020-12-13,email
C00192,El Mansouri,Zineb,zineb.el mansouri65@yahoo.fr,1950-01-02,Femme,MARRAKECH,0693890601,12/10/2022,social_media
C00193,El Mansouri,Aisha,aisha.el mansouri312@gmail.com,1932-01-02,Femme,MEKNES,0667796330,Aug 26 2023,social_media
C00194,Bensaid,Sanaa,sanaa.bensaid971@yahoo.fr,1961-01-01,Femme,Beni Mellal,0694946730,Oct 02 2022,influencer
C00195,Moussaoui,Karim,karim.moussaoui288@menara.ma,1986-01-02,h,Rbat,0683833059,Feb 25 2020,paid_search
C00196,Jamai,Rachid,rachid.jamai852@gmail.com,1959-01-02,male,NADOR,0642483531,01/06/2021,direct
C00197,Moussaoui,Soukaina,soukaina.moussaoui76@menara.ma,1960-01-02,F,ERRACHIDIA,0682966824,16/03/2020,email
C00198,Hajji,Ahmed,ahmed.hajji674@hotmail.com,1939-01-02,male,EL JADIDA,0624219637,2020-01-22,social_media
C00199,Lahlou,Rachid,rachid.lahlou401@menara.ma,1947-01-02,1,Tnja,0624032377,28/08/2021,organic
C00200,El Mansouri,Hicham,hicham.el mansouri357@hotmail.com,1945-01-01,male,meknes,0668809636,18/01/2024,email
C00201,Benali,Hassan,aisha.filali377@outlook.com,1925-01-01,1,kenitra,0684076145,2020-11-23,paid_search
C00202,Moussaoui,Leila,leila.moussaoui645@yahoo.fr,1961-01-01,F,errachidia,0670340936,27/04/2023,organic
C00203,Idrissi,Omar,omar.idrissi771@gmail.com,1943-01-02,1,agadir,0671411378,2020-08-21,influencer
C00204,Chraibi,Meryem,meryem.chraibi321@outlook.com,1997-01-01,Femme,SAFI,0692861016,Dec 19 2020,direct
C00205,Bensaid,Yasmine,yasmine.bensaid605@gmail.com,1981-01-01,f,RABAT,0628972822,2022-11-12,referral
C00206,Moussaoui,Tariq,tariq.moussaoui434@yahoo.fr,1929-01-01,1,RABAT,0648766747,2020-10-14,influencer
C00207,Benali,Khadija,khadija.benali887@hotmail.com,1987-01-02,F,kénitra,0676433728,17/04/2022,paid_search
C00208,Fassi,Zineb,zineb.fassi85@outlook.com,1974-01-02,Femme,Fès,0632576626,17/05/2024,direct
C00209,Senhaji,Meryem,meryem.senhaji116@outlook.com,1965-01-01,f,Eljadida,0669239219,2023-01-23,paid_search
C00210,Chraibi,Nabil,nabil.chraibi770@yahoo.fr,1954-01-02,Homme,safi,0668930964,28/08/2020,social_media
C00211,Ziani,Adil,adil.ziani706@hotmail.com,1957-01-01,1,rabat,0637775381,01/05/2020,referral
C00212,Tazi,Khadija,khadija.tazi173@hotmail.com,1938-01-02,F,errachidia,0628198434,16/03/2024,organic
C00213,Chraibi,Imane,imane.chraibi130@yahoo.fr,1980-01-02,female,Rbat,0694879557,04/07/2021,paid_search
C00214,Chraibi,Aisha,aisha.chraibi814@gmail.com,1923-01-02,female,MEKNES,0688108751,Jan 06 2020,influencer
C00215,Ouali,Nabil,nabil.ouali651@hotmail.com,1961-01-01,1,safi,0676399516,2021-07-03,email
C00216,Ziani,Meryem,meryem.ziani134@outlook.com,1924-01-02,f,casablanca ,0612185246,Sep 11 2020,social_media
C00217,Alami,Zineb,zineb.alami982@menara.ma,1995-01-02,0,SAFI,0622527880,2023-09-02,organic
C00218,Chraibi,Rim,rim.chraibi170@gmail.com,1922-01-02,female,nador,0622775337,2020-01-03,organic
C00219,Hajji,Tariq,khadija.hajji512@outlook.com,1996-01-02,male,meknes,0640728728,2022-02-23,influencer
C00220,Karimi,Ahmed,ahmed.karimi377@hotmail.com,1994-01-02,1,kénitra,0611137460,03/06/2023,paid_search
C00221,Gharbi,Hajar,hajar.gharbi644@yahoo.fr,1955-01-02,f,errachidia,0628792245,2024-03-21,direct
C00222,Naciri,Sanaa,sanaa.naciri323@yahoo.fr,1980-01-02,F,Tétouan,0691549765,06/08/2021,direct
C00223,Filali,Hicham,hicham.filali897@hotmail.com,1987-01-02,male,nador,0642123815,2022-10-10,social_media
C00224,Bensaid,Rim,rim.bensaid73@outlook,1971-01-02,female,SAFI,0659044830,23/01/2023,influencer
C00225,Chaoui,Soukaina,soukaina.chaoui18@outlook.com,2006-01-02,female,KENITRA,0694365330,30/12/2023,paid_search
C00226,Moussaoui,Hajar,hajar.moussaoui85@outlook.com,2001-01-01,f,kenitra,0630854365,2023-01-03,referral
C00227,Naciri,Hassan,hassan.naciri748@yahoo.fr,1956-01-02,m,Tétouan,0617385816,25/09/2021,direct
C00228,Alami,Ahmed,ahmed.alami725@yahoo.fr,1967-01-02,h,Eljadida,0644795538,2020-12-07,direct
