id_client_sk,id_client_nk,nom_complet,tranche_age,sexe,ville,region_admin,segment_client,canal_acquisition,date_debut,date_fin,est_actif
61,C01689,Youssef Lahlou,35-44,m,Oujda,Oriental,Gold,paid_search,2026-06-01,9999-12-31,True
62,C02540,Khadija Drissi,25-34,f,Oujda,Oriental,Gold,email,2026-06-01,9999-12-31,True
63,C01218,Aisha Ouali,65+,f,Agadir,Souss-Massa,Gold,influencer,2026-06-01,9999-12-31,True
64,C02571,Fatima Fassi,25-34,f,Agadir,Souss-Massa,Gold,influencer,2026-06-01,9999-12-31,True
65,C01348,Fatima Benali,25-34,f,Tétouan,Tanger-Tétouan-Al Hoceïma,Bronze,paid_search,2026-06-01,9999-12-31,True
66,C01494,Omar Rachidi,18-24,m,Rabat,Rabat-Salé-Kénitra,Gold,paid_search,2026-06-01,9999-12-31,True
67,C02997,Zineb Ouali,25-34,f,Kenitra,Rabat-Salé-Kénitra,Gold,organic,2026-06-01,9999-12-31,True
68,C01177,Karim Drissi,25-34,m,Fès,Fès-Meknès,Gold,influencer,2026-06-01,9999-12-31,True
69,C01186,Rim Gharbi,<18,f,Meknès,Fès-Meknès,Gold,paid_search,2026-06-01,9999-12-31,True
70,C01212,Amine Moussaoui,45-54,m,Agadir,Souss-Massa,Gold,influencer,2026-06-01,9999-12-31,True
71,C00417,Mohammed Fassi,18-24,m,Marrakech,Marrakech-Safi,Gold,social_media,2026-06-01,9999-12-31,True
72,C01927,Leila Senhaji,65+,f,Agadir,Souss-Massa,Gold,referral,2026-06-01,9999-12-31,True
73,C02874,Amine Naciri,65+,m,Tétouan,Tanger-Tétouan-Al Hoceïma,Gold,influencer,2026-06-01,9999-12-31,True
74,C02819,Karim Chaoui,65+,m,Meknès,Fès-Meknès,Gold,paid_search,2026-06-01,9999-12-31,True
75,C00091,Samir Alami,45-54,m,Tanger,Tanger-Tétouan-Al Hoceïma,Gold,paid_search,2026-06-01,9999-12-31,True
76,C01302,Fatima Chraibi,<18,f,Meknès,Fès-Meknès,Gold,influencer,2026-06-01,9999-12-31,True
77,C01203,Omar Moussaoui,25-34,m,El Jadida,Casablanca-Settat,Gold,direct,2026-06-01,9999-12-31,True
78,C01456,Leila Lahlou,65+,f,Casablanca,Casablanca-Settat,Gold,direct,2026-06-01,9999-12-31,True
79,C01802,Aisha Ouali,25-34,f,Meknès,Fès-Meknès,Gold,influencer,2026-06-01,9999-12-31,True
80,C02815,Leila Lahlou,65+,f,El Jadida,Casablanca-Settat,Gold,email,2026-06-01,9999-12-31,True
81,C01433,Nadia Hajji,25-34,f,Rabat,Rabat-Salé-Kénitra,Gold,social_media,2026-06-01,9999-12-31,True
82,C00832,Hajar Naciri,65+,f,Fès,Fès-Meknès,Bronze,organic,2026-06-01,9999-12-31,True
83,C02135,Adil Tazi,65+,m,Tanger,Tanger-Tétouan-Al Hoceïma,Gold,influencer,2026-06-01,9999-12-31,True
84,C01903,Leila Filali,65+,f,Béni Mellal,Béni Mellal-Khénifra,Gold,direct,2026-06-01,9999-12-31,True
85,C01386,Omar El Mansouri,65+,m,Errachidia,Drâa-Tafilalet,Gold,referral,2026-06-01,9999-12-31,True
86,C00398,Meryem Rachidi,55-64,f,Tanger,Tanger-Tétouan-Al Hoceïma,Gold,influencer,2026-06-01,9999-12-31,True
87,C02236,Rim Karimi,35-44,f,Oujda,Oriental,Bronze,email,2026-06-01,9999-12-31,True
88,C00442,Yasmine Naciri,65+,f,Safi,Marrakech-Safi,Gold,referral,2026-06-01,9999-12-31,True
89,C01758,Fatima Ouali,65+,f,Rabat,Rabat-Salé-Kénitra,Gold,email,2026-06-01,9999-12-31,True
90,C00668,Hassan Naciri,25-34,m,Oujda,Oriental,Gold,referral,2026-06-01,9999-12-31,True
91,C01404,Mohammed Idrissi,65+,m,Tétouan,Tanger-Tétouan-Al Hoceïma,Gold,email,2026-06-01,9999-12-31,True
92,C01312,Tariq Lahlou,65+,m,Oujda,Oriental,Gold,referral,2026-06-01,9999-12-31,True
93,C01837,Mohammed Drissi,45-54,m,Casablanca,Casablanca-Settat,Gold,paid_search,2026-06-01,9999-12-31,True
94,C00626,Imane El Mansouri,35-44,f,El Jadida,Casablanca-Settat,Gold,paid_search,2026-06-01,9999-12-31,True
95,C01848,Karim Moussaoui,55-64,m,Safi,Marrakech-Safi,Gold,influencer,2026-06-01,9999-12-31,True
96,C00813,Sara Hajji,<18,f,Béni Mellal,Béni Mellal-Khénifra,Gold,referral,2026-06-01,9999-12-31,True
97,C00791,Ayoub El Mansouri,65+,m,El Jadida,Casablanca-Settat,Gold,social_media,2026-06-01,9999-12-31,True
98,C02373,Adil Drissi,35-44,m,Béni Mellal,Béni Mellal-Khénifra,Gold,referral,2026-06-01,9999-12-31,True
99,C01725,Yasmine Moussaoui,45-54,f,Safi,Marrakech-Safi,Gold,organic,2026-06-01,9999-12-31,True
100,C02716,Omar El Mansouri,65+,m,Oujda,Oriental,Gold,influencer,2026-06-01,9999-12-31,True
101,C02906,Amine Naciri,25-34,m,Agadir,Souss-Massa,Gold,organic,2026-06-01,9999-12-31,True
102,C00136,Tariq Chaoui,65+,m,El Jadida,Casablanca-Settat,Gold,email,2026-06-01,9999-12-31,True
103,C00060,Tariq Drissi,45-54,m,Fès,Fès-Meknès,Gold,paid_search,2026-06-01,9999-12-31,True
104,C02475,Mohammed Bensaid,45-54,m,El Jadida,Casablanca-Settat,Gold,organic,2026-06-01,9999-12-31,True
105,C01050,Mohammed El Mansouri,18-24,m,El Jadida,Casablanca-Settat,Gold,organic,2026-06-01,9999-12-31,True
106,C02393,Yasmine Chaoui,45-54,f,Safi,Marrakech-Safi,Gold,referral,2026-06-01,9999-12-31,True
107,C00744,Zineb Karimi,55-64,f,Marrakech,Marrakech-Safi,Gold,influencer,2026-06-01,9999-12-31,True
108,C01353,Houda Rachidi,55-64,f,Oujda,Oriental,Gold,direct,2026-06-01,9999-12-31,True
109,C00012,Tariq Karimi,55-64,m,Tanger,Tanger-Tétouan-Al Hoceïma,Gold,paid_search,2026-06-01,9999-12-31,True
110,C01806,Mehdi Idrissi,<18,m,Nador,Oriental,Gold,referral,2026-06-01,9999-12-31,True
111,C01869,Amine Rachidi,65+,m,Casablanca,Casablanca-Settat,Gold,direct,2026-06-01,9999-12-31,True
112,C02136,Nabil Ziani,65+,m,Kenitra,Rabat-Salé-Kénitra,Silver,direct,2026-06-01,9999-12-31,True
113,C00041,Rim Hajji,45-54,f,Agadir,Souss-Massa,Gold,social_media,2026-06-01,9999-12-31,True
114,C02235,Sanaa Hajji,55-64,f,Fès,Fès-Meknès,Gold,referral,2026-06-01,9999-12-31,True
115,C00630,Houda Lahlou,35-44,f,Marrakech,Marrakech-Safi,Bronze,referral,2026-06-01,9999-12-31,True
116,C01392,Soukaina Drissi,65+,f,Fès,Fès-Meknès,Gold,influencer,2026-06-01,9999-12-31,True
117,C02797,Nadia Lahlou,45-54,f,Safi,Marrakech-Safi,Gold,paid_search,2026-06-01,9999-12-31,True
118,C01264,Meryem Jamai,65+,f,Nador,Oriental,Gold,paid_search,2026-06-01,9999-12-31,True
119,C02469,Yasmine Senhaji,<18,f,Tétouan,Tanger-Tétouan-Al Hoceïma,Gold,paid_search,2026-06-01,9999-12-31,True
120,C02378,Rachid El Mansouri,65+,m,Errachidia,Drâa-Tafilalet,Gold,direct,2026-06-01,9999-12-31,True
121,C01600,Rim Hajji,45-54,f,Errachidia,Drâa-Tafilalet,Gold,direct,2026-06-01,9999-12-31,True
122,C00262,Youssef Benali,65+,m,Marrakech,Marrakech-Safi,Gold,paid_search,2026-06-01,9999-12-31,True
123,C02059,Imane El Mansouri,45-54,f,Agadir,Souss-Massa,Gold,influencer,2026-06-01,9999-12-31,True
124,C02743,Soukaina Fassi,35-44,f,Safi,Marrakech-Safi,Gold,direct,2026-06-01,9999-12-31,True
125,C02519,Leila Ziani,25-34,f,Marrakech,Marrakech-Safi,Silver,direct,2026-06-01,9999-12-31,True
126,C01040,Khadija Bensaid,25-34,f,Errachidia,Drâa-Tafilalet,Silver,email,2026-06-01,9999-12-31,True
127,C01590,Khadija Tazi,25-34,f,Agadir,Souss-Massa,Gold,paid_search,2026-06-01,9999-12-31,True
128,C00772,Samir Ziani,25-34,m,Marrakech,Marrakech-Safi,Gold,influencer,2026-06-01,9999-12-31,True
129,C00769,Amine Hajji,65+,m,Rabat,Rabat-Salé-Kénitra,Gold,paid_search,2026-06-01,9999-12-31,True
130,C02984,Zineb Idrissi,25-34,f,Errachidia,Drâa-Tafilalet,Gold,email,2026-06-01,9999-12-31,True
131,C01000,Yasmine Senhaji,35-44,f,Béni Mellal,Béni Mellal-Khénifra,Gold,referral,2026-06-01,9999-12-31,True
132,C01574,Rim Lahlou,65+,f,Meknès,Fès-Meknès,Gold,organic,2026-06-01,9999-12-31,True
133,C00146,Karim Tazi,65+,m,Nador,Oriental,Gold,influencer,2026-06-01,9999-12-31,True
134,C02390,Amine Idrissi,45-54,m,Béni Mellal,Béni Mellal-Khénifra,Gold,paid_search,2026-06-01,9999-12-31,True
135,C00795,Samir Hajji,18-24,m,Fès,Fès-Meknès,Gold,referral,2026-06-01,9999-12-31,True
136,C00920,Zineb Bensaid,55-64,f,Rabat,Rabat-Salé-Kénitra,Gold,direct,2026-06-01,9999-12-31,True
137,C01272,Sara Ziani,<18,f,Kenitra,Rabat-Salé-Kénitra,Gold,referral,2026-06-01,9999-12-31,True
138,C01238,Aisha Senhaji,55-64,f,Rabat,Rabat-Salé-Kénitra,Gold,influencer,2026-06-01,9999-12-31,True
139,C02179,Imane Alami,65+,f,Kenitra,Rabat-Salé-Kénitra,Gold,direct,2026-06-01,9999-12-31,True
140,C02118,Hicham Filali,55-64,m,Agadir,Souss-Massa,Gold,email,2026-06-01,9999-12-31,True
141,C02920,Hicham El Mansouri,55-64,m,Errachidia,Drâa-Tafilalet,Bronze,organic,2026-06-01,9999-12-31,True
142,C00433,Youssef Chaoui,18-24,m,Meknès,Fès-Meknès,Gold,organic,2026-06-01,9999-12-31,True
143,C01787,Soukaina Senhaji,18-24,f,Agadir,Souss-Massa,Gold,email,2026-06-01,9999-12-31,True
144,C00305,Khadija Ziani,65+,f,El Jadida,Casablanca-Settat,Gold,social_media,2026-06-01,9999-12-31,True
145,C02671,Sanaa Gharbi,65+,f,Agadir,Souss-Massa,Gold,referral,2026-06-01,9999-12-31,True
146,C01365,Hicham Tazi,65+,m,Fès,Fès-Meknès,Bronze,direct,2026-06-01,9999-12-31,True
147,C01397,Houda Fassi,65+,f,Errachidia,Drâa-Tafilalet,Gold,direct,2026-06-01,9999-12-31,True
148,C01991,Leila Chaoui,<18,f,Meknès,Fès-Meknès,Gold,paid_search,2026-06-01,9999-12-31,True
149,C00299,Mohammed Karimi,25-34,m,Meknès,Fès-Meknès,Gold,social_media,2026-06-01,9999-12-31,True
150,C02215,Soukaina Hajji,65+,f,Tétouan,Tanger-Tétouan-Al Hoceïma,Gold,referral,2026-06-01,9999-12-31,True
151,C00615,Yasmine Bensaid,18-24,f,Agadir,Souss-Massa,Gold,referral,2026-06-01,9999-12-31,True
152,C01313,Sanaa Jamai,25-34,f,Meknès,Fès-Meknès,Gold,organic,2026-06-01,9999-12-31,True
153,C02137,Youssef Alami,35-44,m,Marrakech,Marrakech-Safi,Gold,social_media,2026-06-01,9999-12-31,True
154,C01027,Amine Gharbi,25-34,m,Meknès,Fès-Meknès,Gold,influencer,2026-06-01,9999-12-31,True
155,C00677,Houda Moussaoui,35-44,f,Casablanca,Casablanca-Settat,Gold,direct,2026-06-01,9999-12-31,True
156,C01979,Hicham Hajji,55-64,m,El Jadida,Casablanca-Settat,Gold,direct,2026-06-01,9999-12-31,True
157,C00716,Leila Jamai,35-44,f,Agadir,Souss-Massa,Gold,organic,2026-06-01,9999-12-31,True
158,C02379,Nabil Tazi,65+,m,Tanger,Tanger-Tétouan-Al Hoceïma,Gold,social_media,2026-06-01,9999-12-31,True
159,C01920,Houda Ouali,<18,f,Oujda,Oriental,Gold,social_media,2026-06-01,9999-12-31,True
160,C02773,Hicham Tazi,65+,m,Safi,Marrakech-Safi,Gold,direct,2026-06-01,9999-12-31,True
161,C00313,Samir Lahlou,65+,m,Nador,Oriental,Silver,referral,2026-06-01,9999-12-31,True
162,C00881,Ayoub Drissi,35-44,m,Rabat,Rabat-Salé-Kénitra,Gold,paid_search,2026-06-01,9999-12-31,True
163,C00532,Samir Gharbi,35-44,m,Fès,Fès-Meknès,Bronze,organic,2026-06-01,9999-12-31,True
164,C00203,Omar Idrissi,65+,m,Agadir,Souss-Massa,Gold,influencer,2026-06-01,9999-12-31,True
165,C00597,Houda Drissi,45-54,f,El Jadida,Casablanca-Settat,Gold,email,2026-06-01,9999-12-31,True
166,C00621,Soukaina Moussaoui,55-64,f,Agadir,Souss-Massa,Gold,paid_search,2026-06-01,9999-12-31,True
167,C02259,Soukaina Idrissi,45-54,f,Oujda,Oriental,Silver,influencer,2026-06-01,9999-12-31,True
168,C02381,Zineb Lahlou,65+,f,Casablanca,Casablanca-Settat,Gold,influencer,2026-06-01,9999-12-31,True
169,C02533,Rachid Bensaid,18-24,m,Fès,Fès-Meknès,Gold,direct,2026-06-01,9999-12-31,True
170,C02505,Amine Ouali,55-64,m,Tanger,Tanger-Tétouan-Al Hoceïma,Gold,social_media,2026-06-01,9999-12-31,True
171,C01104,Aisha Chaoui,65+,f,Errachidia,Drâa-Tafilalet,Gold,organic,2026-06-01,9999-12-31,True
172,C02391,Youssef Benali,35-44,m,Meknès,Fès-Meknès,Gold,referral,2026-06-01,9999-12-31,True
173,C02277,Karim Alami,65+,m,Béni Mellal,Béni Mellal-Khénifra,Bronze,social_media,2026-06-01,9999-12-31,True
174,C00319,Youssef Moussaoui,45-54,m,Kenitra,Rabat-Salé-Kénitra,Gold,referral,2026-06-01,9999-12-31,True
175,C02601,Sara Naciri,45-54,f,Marrakech,Marrakech-Safi,Gold,referral,2026-06-01,9999-12-31,True
176,C01452,Soukaina Drissi,35-44,f,Casablanca,Casablanca-Settat,Gold,organic,2026-06-01,9999-12-31,True
177,C00565,Zineb Moussaoui,65+,f,El Jadida,Casablanca-Settat,Gold,social_media,2026-06-01,9999-12-31,True
178,C02186,Amine Lahlou,35-44,m,Béni Mellal,Béni Mellal-Khénifra,Gold,referral,2026-06-01,9999-12-31,True
179,C00787,Aisha Idrissi,<18,f,Tétouan,Tanger-Tétouan-Al Hoceïma,Gold,social_media,2026-06-01,9999-12-31,True
180,C01591,Soukaina Jamai,45-54,f,Oujda,Oriental,Gold,paid_search,2026-06-01,9999-12-31,True
181,C02426,Samir Drissi,65+,m,Oujda,Oriental,Gold,paid_search,2026-06-01,9999-12-31,True
182,C02847,Youssef El Mansouri,55-64,m,Oujda,Oriental,Gold,social_media,2026-06-01,9999-12-31,True
183,C02150,Hicham Rachidi,65+,m,Errachidia,Drâa-Tafilalet,Gold,direct,2026-06-01,9999-12-31,True
184,C02181,Nadia Drissi,65+,f,Oujda,Oriental,Gold,organic,2026-06-01,9999-12-31,True
185,C01855,Amine Senhaji,45-54,m,El Jadida,Casablanca-Settat,Gold,paid_search,2026-06-01,9999-12-31,True
186,C01778,Hicham Naciri,35-44,m,Errachidia,Drâa-Tafilalet,Gold,direct,2026-06-01,9999-12-31,True
187,C00710,Aisha Naciri,25-34,f,Kenitra,Rabat-Salé-Kénitra,Gold,organic,2026-06-01,9999-12-31,True
188,C00927,Tariq Lahlou,45-54,m,Fès,Fès-Meknès,Gold,influencer,2026-06-01,9999-12-31,True
189,C02198,Nabil Ouali,55-64,m,Tanger,Tanger-Tétouan-Al Hoceïma,Gold,influencer,2026-06-01,9999-12-31,True
190,C01132,Adil Idrissi,65+,m,Tanger,Tanger-Tétouan-Al Hoceïma,Gold,referral,2026-06-01,9999-12-31,True
191,C00729,Aisha Senhaji,<18,f,El Jadida,Casablanca-Settat,Gold,organic,2026-06-01,9999-12-31,True
192,C01784,Sara Gharbi,65+,f,Casablanca,Casablanca-Settat,Gold,paid_search,2026-06-01,9999-12-31,True
193,C01575,Tariq Drissi,65+,m,Kenitra,Rabat-Salé-Kénitra,Gold,influencer,2026-06-01,9999-12-31,True
194,C00125,Fatima Chraibi,55-64,f,El Jadida,Casablanca-Settat,Gold,referral,2026-06-01,9999-12-31,True
195,C01502,Soukaina Fassi,65+,f,Casablanca,Casablanca-Settat,Gold,email,2026-06-01,9999-12-31,True
196,C01867,Soukaina Rachidi,25-34,f,Nador,Oriental,Gold,paid_search,2026-06-01,9999-12-31,True
197,C02669,Nadia Fassi,45-54,f,Kenitra,Rabat-Salé-Kénitra,Bronze,paid_search,2026-06-01,9999-12-31,True
198,C00369,Mehdi Bensaid,45-54,m,Safi,Marrakech-Safi,Gold,direct,2026-06-01,9999-12-31,True
199,C02624,Adil El Mansouri,25-34,m,Tanger,Tanger-Tétouan-Al Hoceïma,Gold,email,2026-06-01,9999-12-31,True
200,C02976,Sanaa Moussaoui,65+,f,Meknès,Fès-Meknès,Gold,referral,2026-06-01,9999-12-31,True
201,C01072,Samir Jamai,65+,m,Meknès,Fès-Meknès,Gold,referral,2026-06-01,9999-12-31,True
202,C00085,Tariq Tazi,18-24,m,Nador,Oriental,Gold,organic,2026-06-01,9999-12-31,True
203,C00206,Tariq Moussaoui,65+,m,Rabat,Rabat-Salé-Kénitra,Gold,influencer,2026-06-01,9999-12-31,True
204,C01833,Sanaa Chaoui,45-54,f,Errachidia,Drâa-Tafilalet,Gold,referral,2026-06-01,9999-12-31,True
205,C01938,Leila Alami,25-34,f,Tanger,Tanger-Tétouan-Al Hoceïma,Gold,direct,2026-06-01,9999-12-31,True
206,C00414,Hajar Senhaji,35-44,f,Safi,Marrakech-Safi,Gold,direct,2026-06-01,9999-12-31,True
207,C00735,Hicham El Mansouri,65+,m,Tétouan,Tanger-Tétouan-Al Hoceïma,Gold,social_media,2026-06-01,9999-12-31,True
208,C02220,Nadia Naciri,<18,f,Casablanca,Casablanca-Settat,Gold,paid_search,2026-06-01,9999-12-31,True
209,C01002,Omar Tazi,35-44,m,Meknès,Fès-Meknès,Gold,social_media,2026-06-01,9999-12-31,True
210,C01899,Aisha Bensaid,<18,f,Oujda,Oriental,Gold,email,2026-06-01,9999-12-31,True
211,C01449,Tariq Chraibi,55-64,m,Safi,Marrakech-Safi,Gold,direct,2026-06-01,9999-12-31,True
212,C02300,Houda Bensaid,55-64,f,Béni Mellal,Béni Mellal-Khénifra,Gold,paid_search,2026-06-01,9999-12-31,True
213,C01324,Rim Drissi,45-54,f,Errachidia,Drâa-Tafilalet,Silver,email,2026-06-01,9999-12-31,True
214,C02479,Imane El Mansouri,65+,f,Fès,Fès-Meknès,Gold,email,2026-06-01,9999-12-31,True
215,C02474,Nabil Drissi,55-64,m,Fès,Fès-Meknès,Gold,social_media,2026-06-01,9999-12-31,True
216,C00331,Zineb Rachidi,35-44,f,Nador,Oriental,Gold,email,2026-06-01,9999-12-31,True
217,C00964,Yasmine Alami,55-64,f,Fès,Fès-Meknès,Gold,social_media,2026-06-01,9999-12-31,True
218,C02326,Rim Hajji,65+,f,Safi,Marrakech-Safi,Gold,direct,2026-06-01,9999-12-31,True
219,C02249,Fatima Hajji,<18,f,Oujda,Oriental,Silver,social_media,2026-06-01,9999-12-31,True
220,C01741,Omar Senhaji,45-54,m,Kenitra,Rabat-Salé-Kénitra,Gold,social_media,2026-06-01,9999-12-31,True
221,C00874,Hicham Idrissi,<18,m,Tanger,Tanger-Tétouan-Al Hoceïma,Gold,referral,2026-06-01,9999-12-31,True
222,C02199,Rachid Chaoui,18-24,m,Nador,Oriental,Gold,direct,2026-06-01,9999-12-31,True
223,C00178,Sanaa Naciri,<18,f,Errachidia,Drâa-Tafilalet,Gold,social_media,2026-06-01,9999-12-31,True
224,C01058,Tariq Fassi,55-64,m,Safi,Marrakech-Safi,Gold,influencer,2026-06-01,9999-12-31,True
225,C00444,Houda Naciri,35-44,f,Safi,Marrakech-Safi,Gold,influencer,2026-06-01,9999-12-31,True
226,C00116,Hassan Drissi,18-24,m,Rabat,Rabat-Salé-Kénitra,Gold,influencer,2026-06-01,9999-12-31,True
227,C02833,Adil Naciri,55-64,m,Marrakech,Marrakech-Safi,Gold,paid_search,2026-06-01,9999-12-31,True
